chain	start	end	A	B	tags
chr1:a	6200000	6300000	1	0	A
chr1:a	6300000	6400000	1	0	A
chr1:a	6400000	6500000	1	0	A
chr1:a	6500000	6600000	1	0	A
chr1:a	6600000	6700000	1	0	A
chr1:a	6700000	6800000	1	0	A
chr1:a	6800000	6900000	1	0	A
chr1:a	6900000	7000000	1	0	A
chr1:a	7000000	7100000	1	0	A
chr1:a	7100000	7200000	1	0	A
chr1:a	7200000	7300000	1	0	A
chr1:a	7300000	7400000	0	1	B
chr1:a	7400000	7500000	0	1	B
chr1:a	7500000	7600000	0	1	B
chr1:a	7600000	7700000	0	1	B
chr1:a	7700000	7800000	0	1	B
chr1:a	7800000	7900000	0	1	B
chr1:a	7900000	8000000	0	1	B
chr1:a	8000000	8100000	0	1	B
chr1:a	8100000	8200000	0	1	B
chr1:a	8200000	8300000	0	1	B
chr1:a	8300000	8400000	0	1	B
chr1:a	8400000	8500000	0	1	B
chr1:a	8500000	8600000	0	1	B
chr1:a	8600000	8700000	0	1	B
chr1:a	8700000	8800000	0	1	B
chr1:a	8800000	8900000	0	1	B
chr1:a	8900000	9000000	0	1	B
chr1:a	9000000	9100000	0	1	B
chr1:a	9100000	9200000	0	1	B
chr1:a	9200000	9300000	0	1	B
chr1:a	9300000	9400000	0	1	B
chr1:a	9400000	9500000	1	0	A
chr1:a	9500000	9600000	1	0	A
chr1:a	9600000	9700000	1	0	A
chr1:a	9700000	9800000	1	0	A
chr1:a	9800000	9900000	1	0	A
chr1:a	9900000	10000000	1	0	A
chr1:a	10000000	10100000	1	0	A
chr1:a	10100000	10200000	1	0	A
chr1:a	10200000	10300000	1	0	A
chr1:a	10300000	10400000	1	0	A
chr1:a	10400000	10500000	0	1	B
chr1:a	10500000	10600000	0	1	B
chr1:a	10600000	10700000	0	1	B
chr1:a	10700000	10800000	0	1	B
chr1:a	10800000	10900000	0	1	B
chr1:a	10900000	11000000	0	1	B
chr1:a	11000000	11100000	0	1	B
chr1:a	11100000	11200000	0	1	B
chr1:a	11200000	11300000	0	1	B
chr1:a	11300000	11400000	0	1	B
chr1:a	11400000	11500000	0	1	B
chr1:a	11500000	11600000	0	1	B
chr1:a	11600000	11700000	0	1	B
chr1:a	11700000	11800000	0	1	B
chr1:a	11800000	11900000	0	1	B
chr1:a	11900000	12000000	0	1	B
chr1:a	12000000	12100000	0	1	B
chr1:a	12100000	12200000	0	1	B
chr1:a	12200000	12300000	0	1	B
chr1:a	12300000	12400000	0	1	B
chr1:a	12400000	12500000	0	1	B
chr1:a	12500000	12600000	1	0	A
chr1:a	12600000	12700000	1	0	A
chr1:a	12700000	12800000	1	0	A
chr1:a	12800000	12900000	1	0	A
chr1:a	12900000	13000000	1	0	A
chr1:a	13000000	13100000	1	0	A
chr1:a	13100000	13200000	1	0	A
chr1:a	13200000	13300000	1	0	A
chr1:a	13300000	13400000	1	0	A
chr1:a	13400000	13500000	1	0	A
chr1:a	13500000	13600000	1	0	A
chr1:a	13600000	13700000	1	0	A
chr1:a	13700000	13800000	1	0	A
chr1:a	13800000	13900000	1	0	A
chr1:a	13900000	14000000	1	0	A
chr1:a	14000000	14100000	1	0	A
chr1:a	14100000	14200000	1	0	A
chr1:a	14200000	14300000	1	0	A
chr1:a	14300000	14400000	1	0	A
chr1:a	14400000	14500000	0	1	B
chr1:a	14500000	14600000	0	1	B
chr1:a	14600000	14700000	0	1	B
chr1:a	14700000	14800000	0	1	B
chr1:a	14800000	14900000	0	1	B
chr1:a	14900000	15000000	0	1	B
chr1:a	15000000	15100000	0	1	B
chr1:a	15100000	15200000	0	1	B
chr1:a	15200000	15300000	0	1	B
chr1:a	15300000	15400000	0	1	B
chr1:a	15400000	15500000	0	1	B
chr1:a	15500000	15600000	0	1	B
chr1:a	15600000	15700000	1	0	A
chr1:a	15700000	15800000	1	0	A
chr1:a	15800000	15900000	1	0	A
chr1:a	15900000	16000000	1	0	A
chr1:a	16000000	16100000	1	0	A
chr1:a	16100000	16200000	1	0	A
chr1:a	16200000	16300000	1	0	A
chr1:a	16300000	16400000	1	0	A
chr1:a	16400000	16500000	1	0	A
chr1:a	16500000	16600000	1	0	A
chr1:a	16600000	16700000	1	0	A
chr1:a	16700000	16800000	1	0	A
chr1:a	16800000	16900000	1	0	A
chr1:a	16900000	17000000	0	1	B
chr1:a	17000000	17100000	0	1	B
chr1:a	17100000	17200000	0	1	B
chr1:a	17200000	17300000	0	1	B
chr1:a	17300000	17400000	0	1	B
chr1:a	17400000	17500000	0	1	B
chr1:a	17500000	17600000	0	1	B
chr1:a	17600000	17700000	0	1	B
chr1:a	17700000	17800000	0	1	B
chr1:a	17800000	17900000	0	1	B
chr1:a	17900000	18000000	0	1	B
chr1:a	18000000	18100000	0	1	B
chr1:a	18100000	18200000	0	1	B
chr1:a	18200000	18300000	0	1	B
chr1:a	18300000	18400000	0	1	B
chr1:a	18400000	18500000	0	1	B
chr1:a	18500000	18600000	0	1	B
chr1:a	18600000	18700000	0	1	B
chr1:a	18700000	18800000	0	1	B
chr1:a	18800000	18900000	0	1	B
chr1:a	18900000	19000000	0	1	B
chr1:a	19000000	19100000	0	1	B
chr1:a	19100000	19200000	0	1	B
chr1:a	19200000	19300000	0	1	B
chr1:a	19300000	19400000	0	1	B
chr1:a	19400000	19500000	0	1	B
chr1:a	19500000	19600000	0	1	B
chr1:a	19600000	19700000	0	1	B
chr1:a	19700000	19800000	0	1	B
chr1:a	19800000	19900000	0	1	B
chr1:a	19900000	20000000	0	1	B
chr1:a	20000000	20100000	0	1	B
chr1:a	20100000	20200000	0	1	B
chr1:a	20200000	20300000	0	1	B
chr1:a	20300000	20400000	0	1	B
chr1:a	20400000	20500000	0	1	B
chr1:a	20500000	20600000	0	1	B
chr1:a	20600000	20700000	0	1	B
chr1:a	20700000	20800000	1	0	A
chr1:a	20800000	20900000	1	0	A
chr1:a	20900000	21000000	1	0	A
chr1:a	21000000	21100000	1	0	A
chr1:a	21100000	21200000	1	0	A
chr1:a	21200000	21300000	1	0	A
chr1:a	21300000	21400000	1	0	A
chr1:a	21400000	21500000	1	0	A
chr1:a	21500000	21600000	1	0	A
chr1:a	21600000	21700000	1	0	A
chr1:a	21700000	21800000	1	0	A
chr1:a	21800000	21900000	1	0	A
chr1:a	21900000	22000000	1	0	A
chr1:a	22000000	22100000	1	0	A
chr1:a	22100000	22200000	0	1	B
chr1:a	22200000	22300000	0	1	B
chr1:a	22300000	22400000	0	1	B
chr1:a	22400000	22500000	0	1	B
chr1:a	22500000	22600000	0	1	B
chr1:a	22600000	22700000	0	1	B
chr1:a	22700000	22800000	0	1	B
chr1:a	22800000	22900000	0	1	B
chr1:a	22900000	23000000	0	1	B
chr1:a	23000000	23100000	0	1	B
chr1:a	23100000	23200000	0	1	B
chr1:a	23200000	23300000	0	1	B
chr1:a	23300000	23400000	0	1	B
chr1:a	23400000	23500000	0	1	B
chr1:a	23500000	23600000	0	1	B
chr1:a	23600000	23700000	1	0	A
chr1:a	23700000	23800000	1	0	A
chr1:a	23800000	23900000	1	0	A
chr1:a	23900000	24000000	1	0	A
chr1:a	24000000	24100000	1	0	A
chr1:a	24100000	24200000	1	0	A
chr1:a	24200000	24300000	0	1	B
chr1:a	24300000	24400000	0	1	B
chr1:a	24400000	24500000	0	1	B
chr1:a	24500000	24600000	0	1	B
chr1:a	24600000	24700000	0	1	B
chr1:a	24700000	24800000	0	1	B
chr1:a	24800000	24900000	0	1	B
chr1:a	24900000	25000000	0	1	B
chr1:a	25000000	25100000	0	1	B
chr1:a	25100000	25200000	0	1	B
chr1:a	25200000	25300000	0	1	B
chr1:a	25300000	25400000	0	1	B
chr1:a	25400000	25500000	0	1	B
chr1:a	25500000	25600000	0	1	B
chr1:a	25600000	25700000	0	1	B
chr1:a	25700000	25800000	0	1	B
chr1:a	25800000	25900000	0	1	B
chr1:a	25900000	26000000	0	1	B
chr1:a	26000000	26100000	0	1	B
chr1:a	26100000	26200000	0	1	B
chr1:a	26200000	26300000	0	1	B
chr1:a	26300000	26400000	0	1	B
chr1:a	26400000	26500000	0	1	B
chr1:a	26500000	26600000	0	1	B
chr1:a	26600000	26700000	0	1	B
chr1:a	26700000	26800000	0	1	B
chr1:a	26800000	26900000	0	1	B
chr1:a	26900000	27000000	0	1	B
chr1:a	27000000	27100000	0	1	B
chr1:a	27100000	27200000	0	1	B
chr1:a	27200000	27300000	0	1	B
chr1:a	27300000	27400000	0	1	B
chr1:a	27400000	27500000	0	1	B
chr1:a	27500000	27600000	0	1	B
chr1:a	27600000	27700000	0	1	B
chr1:a	27700000	27800000	0	1	B
chr1:a	27800000	27900000	0	1	B
chr1:a	27900000	28000000	0	1	B
chr1:a	28000000	28100000	0	1	B
chr1:a	28100000	28200000	0	1	B
chr1:a	28200000	28300000	0	1	B
chr1:a	28300000	28400000	0	1	B
chr1:a	28400000	28500000	0	1	B
chr1:a	28500000	28600000	0	1	B
chr1:a	28600000	28700000	0	1	B
chr1:a	28700000	28800000	0	1	B
chr1:a	28800000	28900000	0	1	B
chr1:a	28900000	29000000	0	1	B
chr1:a	29000000	29100000	0	1	B
chr1:a	29100000	29200000	0	1	B
chr1:a	29200000	29300000	0	1	B
chr1:a	29300000	29400000	0	1	B
chr1:a	29400000	29500000	0	1	B
chr1:a	29500000	29600000	0	1	B
chr1:a	29600000	29700000	0	1	B
chr1:a	29700000	29800000	0	1	B
chr1:a	29800000	29900000	0	1	B
chr1:a	29900000	30000000	0	1	B
chr1:a	30000000	30100000	0	1	B
chr1:a	30100000	30200000	0	1	B
chr1:a	30200000	30300000	0	1	B
chr1:a	30300000	30400000	0	1	B
chr1:a	30400000	30500000	0	1	B
chr1:a	30500000	30600000	0	1	B
chr1:a	30600000	30700000	0	1	B
chr1:a	30700000	30800000	0	1	B
chr1:a	30800000	30900000	1	0	A
chr1:a	30900000	31000000	1	0	A
chr1:a	31000000	31100000	1	0	A
chr1:a	31100000	31200000	0	1	B
chr1:a	31200000	31300000	0	1	B
chr1:a	31300000	31400000	0	1	B
chr1:a	31400000	31500000	0	1	B
chr1:a	31500000	31600000	0	1	B
chr1:a	31600000	31700000	0	1	B
chr1:a	31700000	31800000	0	1	B
chr1:a	31800000	31900000	0	1	B
chr1:a	31900000	32000000	0	1	B
chr1:a	32000000	32100000	0	1	B
chr1:a	32100000	32200000	0	1	B
chr1:a	32200000	32300000	0	1	B
chr1:a	32300000	32400000	0	1	B
chr1:a	32400000	32500000	0	1	B
chr1:a	32500000	32600000	0	1	B
chr1:a	32600000	32700000	0	1	B
chr1:a	32700000	32800000	0	1	B
chr1:a	32800000	32900000	0	1	B
chr1:a	32900000	33000000	0	1	B
chr1:a	33000000	33100000	0	1	B
chr1:a	33100000	33200000	0	1	B
chr1:a	33200000	33300000	0	1	B
chr1:a	33300000	33400000	1	0	A
chr1:a	33400000	33500000	1	0	A
chr1:a	33500000	33600000	1	0	A
chr1:a	33600000	33700000	1	0	A
chr1:a	33700000	33800000	1	0	A
chr1:a	33800000	33900000	1	0	A
chr1:a	33900000	34000000	1	0	A
chr1:a	34000000	34100000	1	0	A
chr1:a	34100000	34200000	1	0	A
chr1:a	34200000	34300000	1	0	A
chr1:a	34300000	34400000	1	0	A
chr1:a	34400000	34500000	1	0	A
chr1:a	34500000	34600000	1	0	A
chr1:a	34600000	34700000	1	0	A
chr1:a	34700000	34800000	1	0	A
chr1:a	34800000	34900000	1	0	A
chr1:a	34900000	35000000	1	0	A
chr1:a	35000000	35100000	1	0	A
chr1:a	35100000	35200000	0	1	B
chr1:a	35200000	35300000	0	1	B
chr1:a	35300000	35400000	1	0	A
chr1:a	35400000	35500000	1	0	A
chr1:a	35500000	35600000	1	0	A
chr1:a	35600000	35700000	1	0	A
chr1:a	35700000	35800000	1	0	A
chr1:a	35800000	35900000	1	0	A
chr1:a	35900000	36000000	1	0	A
chr1:a	36000000	36100000	1	0	A
chr1:a	36100000	36200000	1	0	A
chr1:a	36200000	36300000	1	0	A
chr1:a	36300000	36400000	1	0	A
chr1:a	36400000	36500000	1	0	A
chr1:a	36500000	36600000	1	0	A
chr1:a	36600000	36700000	1	0	A
chr1:a	36700000	36800000	1	0	A
chr1:a	36800000	36900000	1	0	A
chr1:a	36900000	37000000	1	0	A
chr1:a	37000000	37100000	1	0	A
chr1:a	37100000	37200000	1	0	A
chr1:a	37200000	37300000	1	0	A
chr1:a	37300000	37400000	1	0	A
chr1:a	37400000	37500000	1	0	A
chr1:a	37500000	37600000	1	0	A
chr1:a	37600000	37700000	1	0	A
chr1:a	37700000	37800000	1	0	A
chr1:a	37800000	37900000	1	0	A
chr1:a	37900000	38000000	1	0	A
chr1:a	38000000	38100000	1	0	A
chr1:a	38100000	38200000	1	0	A
chr1:a	38200000	38300000	1	0	A
chr1:a	38300000	38400000	1	0	A
chr1:a	38400000	38500000	1	0	A
chr1:a	38500000	38600000	1	0	A
chr1:a	38600000	38700000	1	0	A
chr1:a	38700000	38800000	1	0	A
chr1:a	38800000	38900000	1	0	A
chr1:a	38900000	39000000	1	0	A
chr1:a	39000000	39100000	1	0	A
chr1:a	39100000	39200000	1	0	A
chr1:a	39200000	39300000	1	0	A
chr1:a	39300000	39400000	1	0	A
chr1:a	39400000	39500000	1	0	A
chr1:a	39500000	39600000	1	0	A
chr1:a	39600000	39700000	1	0	A
chr1:a	39700000	39800000	1	0	A
chr1:a	39800000	39900000	1	0	A
chr1:a	39900000	40000000	1	0	A
chr1:a	40000000	40100000	1	0	A
chr1:a	40100000	40200000	1	0	A
chr1:a	40200000	40300000	1	0	A
chr1:a	40300000	40400000	1	0	A
chr1:a	40400000	40500000	1	0	A
chr1:a	40500000	40600000	1	0	A
chr1:a	40600000	40700000	0	1	B
chr1:a	40700000	40800000	0	1	B
chr1:a	40800000	40900000	0	1	B
chr1:a	40900000	41000000	0	1	B
chr1:a	41000000	41100000	0	1	B
chr1:a	41100000	41200000	0	1	B
chr1:a	41200000	41300000	0	1	B
chr1:a	41300000	41400000	0	1	B
chr1:a	41400000	41500000	0	1	B
chr1:a	41500000	41600000	0	1	B
chr1:a	41600000	41700000	0	1	B
chr1:a	41700000	41800000	0	1	B
chr1:a	41800000	41900000	0	1	B
chr1:a	41900000	42000000	0	1	B
chr1:a	42000000	42100000	0	1	B
chr1:a	42100000	42200000	0	1	B
chr1:a	42200000	42300000	0	1	B
chr1:a	42300000	42400000	0	1	B
chr1:a	42400000	42500000	0	1	B
chr1:a	42500000	42600000	0	1	B
chr1:a	42600000	42700000	0	1	B
chr1:a	42700000	42800000	0	1	B
chr1:a	42800000	42900000	1	0	A
chr1:a	42900000	43000000	1	0	A
chr1:a	43000000	43100000	1	0	A
chr1:a	43100000	43200000	1	0	A
chr1:a	43200000	43300000	1	0	A
chr1:a	43300000	43400000	1	0	A
chr1:a	43400000	43500000	1	0	A
chr1:a	43500000	43600000	1	0	A
chr1:a	43600000	43700000	1	0	A
chr1:a	43700000	43800000	1	0	A
chr1:a	43800000	43900000	1	0	A
chr1:a	43900000	44000000	1	0	A
chr1:a	44000000	44100000	1	0	A
chr1:a	44100000	44200000	1	0	A
chr1:a	44200000	44300000	0	1	B
chr1:a	44300000	44400000	0	1	B
chr1:a	44400000	44500000	0	1	B
chr1:a	44500000	44600000	0	1	B
chr1:a	44600000	44700000	0	1	B
chr1:a	44700000	44800000	0	1	B
chr1:a	44800000	44900000	0	1	B
chr1:a	44900000	45000000	0	1	B
chr1:a	45000000	45100000	0	1	B
chr1:a	45100000	45200000	0	1	B
chr1:a	45200000	45300000	0	1	B
chr1:a	45300000	45400000	0	1	B
chr1:a	45400000	45500000	0	1	B
chr1:a	45500000	45600000	0	1	B
chr1:a	45600000	45700000	0	1	B
chr1:a	45700000	45800000	0	1	B
chr1:a	45800000	45900000	0	1	B
chr1:a	45900000	46000000	0	1	B
chr1:a	46000000	46100000	0	1	B
chr1:a	46100000	46200000	0	1	B
chr1:a	46200000	46300000	0	1	B
chr1:a	46300000	46400000	0	1	B
chr1:a	46400000	46500000	0	1	B
chr1:a	46500000	46600000	0	1	B
chr1:a	46600000	46700000	0	1	B
chr1:a	46700000	46800000	0	1	B
chr1:a	46800000	46900000	0	1	B
chr1:a	46900000	47000000	0	1	B
chr1:a	47000000	47100000	0	1	B
chr1:a	47100000	47200000	0	1	B
chr1:a	47200000	47300000	0	1	B
chr1:a	47300000	47400000	0	1	B
chr1:a	47400000	47500000	0	1	B
chr1:a	47500000	47600000	0	1	B
chr1:a	47600000	47700000	0	1	B
chr1:a	47700000	47800000	0	1	B
chr1:a	47800000	47900000	0	1	B
chr1:a	47900000	48000000	0	1	B
chr1:a	48000000	48100000	0	1	B
chr1:a	48100000	48200000	0	1	B
chr1:a	48200000	48300000	0	1	B
chr1:a	48300000	48400000	0	1	B
chr1:a	48400000	48500000	0	1	B
chr1:a	48500000	48600000	0	1	B
chr1:a	48600000	48700000	0	1	B
chr1:a	48700000	48800000	0	1	B
chr1:a	48800000	48900000	0	1	B
chr1:a	48900000	49000000	0	1	B
chr1:a	49000000	49100000	0	1	B
chr1:a	49100000	49200000	0	1	B
chr1:a	49200000	49300000	0	1	B
chr1:a	49300000	49400000	0	1	B
chr1:a	49400000	49500000	0	1	B
chr1:a	49500000	49600000	0	1	B
chr1:a	49600000	49700000	0	1	B
chr1:a	49700000	49800000	0	1	B
chr1:a	49800000	49900000	0	1	B
chr1:a	49900000	50000000	0	1	B
chr1:a	50000000	50100000	0	1	B
chr1:a	50100000	50200000	0	1	B
chr1:a	50200000	50300000	0	1	B
chr1:a	50300000	50400000	0	1	B
chr1:a	50400000	50500000	0	1	B
chr1:a	50500000	50600000	0	1	B
chr1:a	50600000	50700000	0	1	B
chr1:a	50700000	50800000	0	1	B
chr1:a	50800000	50900000	0	1	B
chr1:a	50900000	51000000	0	1	B
chr1:a	51000000	51100000	0	1	B
chr1:a	51100000	51200000	0	1	B
chr1:a	51200000	51300000	0	1	B
chr1:a	51300000	51400000	1	0	A
chr1:a	51400000	51500000	1	0	A
chr1:a	51500000	51600000	1	0	A
chr1:a	51600000	51700000	1	0	A
chr1:a	51700000	51800000	1	0	A
chr1:a	51800000	51900000	1	0	A
chr1:a	51900000	52000000	1	0	A
chr1:a	52000000	52100000	1	0	A
chr1:a	52100000	52200000	1	0	A
chr1:a	52200000	52300000	1	0	A
chr1:a	52300000	52400000	1	0	A
chr1:a	52400000	52500000	1	0	A
chr1:a	52500000	52600000	1	0	A
chr1:a	52600000	52700000	1	0	A
chr1:a	52700000	52800000	1	0	A
chr1:a	52800000	52900000	1	0	A
chr1:a	52900000	53000000	1	0	A
chr1:a	53000000	53100000	1	0	A
chr1:a	53100000	53200000	1	0	A
chr1:a	53200000	53300000	1	0	A
chr1:a	53300000	53400000	1	0	A
chr1:a	53400000	53500000	1	0	A
chr1:a	53500000	53600000	1	0	A
chr1:a	53600000	53700000	1	0	A
chr1:a	53700000	53800000	1	0	A
chr1:a	53800000	53900000	1	0	A
chr1:a	53900000	54000000	1	0	A
chr1:a	54000000	54100000	1	0	A
chr1:a	54100000	54200000	1	0	A
chr1:a	54200000	54300000	1	0	A
chr1:a	54300000	54400000	1	0	A
chr1:a	54400000	54500000	1	0	A
chr1:a	54500000	54600000	1	0	A
chr1:a	54600000	54700000	1	0	A
chr1:a	54700000	54800000	1	0	A
chr1:a	54800000	54900000	1	0	A
chr1:a	54900000	55000000	1	0	A
chr1:a	55000000	55100000	1	0	A
chr1:a	55100000	55200000	1	0	A
chr1:a	55200000	55300000	1	0	A
chr1:a	55300000	55400000	1	0	A
chr1:a	55400000	55500000	1	0	A
chr1:a	55500000	55600000	1	0	A
chr1:a	55600000	55700000	1	0	A
chr1:a	55700000	55800000	0	1	B
chr1:a	55800000	55900000	0	1	B
chr1:a	55900000	56000000	1	0	A
chr1:a	56000000	56100000	1	0	A
chr1:a	56100000	56200000	1	0	A
chr1:a	56200000	56300000	1	0	A
chr1:a	56300000	56400000	1	0	A
chr1:a	56400000	56500000	1	0	A
chr1:a	56500000	56600000	1	0	A
chr1:a	56600000	56700000	1	0	A
chr1:a	56700000	56800000	1	0	A
chr1:a	56800000	56900000	1	0	A
chr1:a	56900000	57000000	1	0	A
chr1:a	57000000	57100000	1	0	A
chr1:a	57100000	57200000	1	0	A
chr1:a	57200000	57300000	1	0	A
chr1:a	57300000	57400000	1	0	A
chr1:a	57400000	57500000	1	0	A
chr1:a	57500000	57600000	1	0	A
chr1:a	57600000	57700000	1	0	A
chr1:a	57700000	57800000	1	0	A
chr1:a	57800000	57900000	1	0	A
chr1:a	57900000	58000000	1	0	A
chr1:a	58000000	58100000	1	0	A
chr1:a	58100000	58200000	1	0	A
chr1:a	58200000	58300000	1	0	A
chr1:a	58300000	58400000	1	0	A
chr1:a	58400000	58500000	1	0	A
chr1:a	58500000	58600000	1	0	A
chr1:a	58600000	58700000	1	0	A
chr1:a	58700000	58800000	1	0	A
chr1:a	58800000	58900000	1	0	A
chr1:a	58900000	59000000	1	0	A
chr1:a	59000000	59100000	1	0	A
chr1:a	59100000	59200000	1	0	A
chr1:a	59200000	59300000	1	0	A
chr1:a	59300000	59400000	1	0	A
chr1:a	59400000	59500000	1	0	A
chr1:a	59500000	59600000	1	0	A
chr1:a	59600000	59700000	1	0	A
chr1:a	59700000	59800000	1	0	A
chr1:a	59800000	59900000	1	0	A
chr1:a	59900000	60000000	1	0	A
chr1:a	60000000	60100000	1	0	A
chr1:a	60100000	60200000	1	0	A
chr1:a	60200000	60300000	1	0	A
chr1:a	60300000	60400000	1	0	A
chr1:a	60400000	60500000	1	0	A
chr1:a	60500000	60600000	1	0	A
chr1:a	60600000	60700000	1	0	A
chr1:a	60700000	60800000	1	0	A
chr1:a	60800000	60900000	1	0	A
chr1:a	60900000	61000000	1	0	A
chr1:a	61000000	61100000	1	0	A
chr1:a	61100000	61200000	1	0	A
chr1:a	61200000	61300000	1	0	A
chr1:a	61300000	61400000	1	0	A
chr1:a	61400000	61500000	1	0	A
chr1:a	61500000	61600000	1	0	A
chr1:a	61600000	61700000	1	0	A
chr1:a	61700000	61800000	1	0	A
chr1:a	61800000	61900000	1	0	A
chr1:a	61900000	62000000	0	1	B
chr1:a	62000000	62100000	1	0	A
chr1:a	62100000	62200000	1	0	A
chr1:a	62200000	62300000	1	0	A
chr1:a	62300000	62400000	1	0	A
chr1:a	62400000	62500000	1	0	A
chr1:a	62500000	62600000	1	0	A
chr1:a	62600000	62700000	1	0	A
chr1:a	62700000	62800000	1	0	A
chr1:a	62800000	62900000	1	0	A
chr1:a	62900000	63000000	1	0	A
chr1:a	63000000	63100000	1	0	A
chr1:a	63100000	63200000	1	0	A
chr1:a	63200000	63300000	1	0	A
chr1:a	63300000	63400000	1	0	A
chr1:a	63400000	63500000	0	1	B
chr1:a	63500000	63600000	0	1	B
chr1:a	63600000	63700000	1	0	A
chr1:a	63700000	63800000	1	0	A
chr1:a	63800000	63900000	1	0	A
chr1:a	63900000	64000000	1	0	A
chr1:a	64000000	64100000	1	0	A
chr1:a	64100000	64200000	1	0	A
chr1:a	64200000	64300000	1	0	A
chr1:a	64300000	64400000	1	0	A
chr1:a	64400000	64500000	1	0	A
chr1:a	64500000	64600000	1	0	A
chr1:a	64600000	64700000	1	0	A
chr1:a	64700000	64800000	1	0	A
chr1:a	64800000	64900000	1	0	A
chr1:a	64900000	65000000	1	0	A
chr1:a	65000000	65100000	1	0	A
chr1:a	65100000	65200000	1	0	A
chr1:a	65200000	65300000	1	0	A
chr1:a	65300000	65400000	1	0	A
chr1:a	65400000	65500000	1	0	A
chr1:a	65500000	65600000	0	1	B
chr1:a	65600000	65700000	0	1	B
chr1:a	65700000	65800000	0	1	B
chr1:a	65800000	65900000	0	1	B
chr1:a	65900000	66000000	0	1	B
chr1:a	66000000	66100000	0	1	B
chr1:a	66100000	66200000	0	1	B
chr1:a	66200000	66300000	0	1	B
chr1:a	66300000	66400000	0	1	B
chr1:a	66400000	66500000	0	1	B
chr1:a	66500000	66600000	1	0	A
chr1:a	66600000	66700000	1	0	A
chr1:a	66700000	66800000	1	0	A
chr1:a	66800000	66900000	1	0	A
chr1:a	66900000	67000000	1	0	A
chr1:a	67000000	67100000	1	0	A
chr1:a	67100000	67200000	0	1	B
chr1:a	67200000	67300000	0	1	B
chr1:a	67300000	67400000	0	1	B
chr1:a	67400000	67500000	0	1	B
chr1:a	67500000	67600000	0	1	B
chr1:a	67600000	67700000	0	1	B
chr1:a	67700000	67800000	0	1	B
chr1:a	67800000	67900000	0	1	B
chr1:a	67900000	68000000	0	1	B
chr1:a	68000000	68100000	0	1	B
chr1:a	68100000	68200000	0	1	B
chr1:a	68200000	68300000	0	1	B
chr1:a	68300000	68400000	0	1	B
chr1:a	68400000	68500000	0	1	B
chr1:a	68500000	68600000	0	1	B
chr1:a	68600000	68700000	0	1	B
chr1:a	68700000	68800000	0	1	B
chr1:a	68800000	68900000	0	1	B
chr1:a	68900000	69000000	0	1	B
chr1:a	69000000	69100000	0	1	B
chr1:a	69100000	69200000	0	1	B
chr1:a	69200000	69300000	0	1	B
chr1:a	69300000	69400000	0	1	B
chr1:a	69400000	69500000	0	1	B
