chrom	start	end	score
chr1	7200000	7300000	0.312594
chr1	7300000	7400000	0.31235
chr1	7400000	7500000	0.334911
chr1	7500000	7600000	0.314065
chr1	7600000	7700000	0.288764
chr1	7700000	7800000	0.293987
chr1	7800000	7900000	0.416241
chr1	7900000	8000000	0.265823
chr1	8000000	8100000	0.375803
chr1	8100000	8200000	0.441963
chr1	8200000	8300000	0.398947
chr1	8300000	8400000	0.334219
chr1	8400000	8500000	0.471921
chr1	8500000	8600000	0.366099
chr1	8600000	8700000	0.506543
chr1	8700000	8800000	0.39653
chr1	8800000	8900000	0.348889
chr1	8900000	9000000	0.520708
chr1	9000000	9100000	0.510654
chr1	9100000	9200000	0.588793
chr1	9200000	9300000	0.371337
chr1	9300000	9400000	0.499307
chr1	9400000	9500000	0.345832
chr1	9500000	9600000	0.415669
chr1	9600000	9700000	0.509221
chr1	9700000	9800000	0.38402
chr1	9800000	9900000	0.435178
chr1	9900000	10000000	0.323081
chr1	10000000	10100000	0.367355
chr1	10100000	10200000	0.351979
chr1	10200000	10300000	0.461168
chr1	10300000	10400000	0.358022
chr1	10400000	10500000	0.449097
chr1	10500000	10600000	0.426062
chr1	10600000	10700000	0.361256
chr1	10700000	10800000	0.426705
chr1	10800000	10900000	0.388472
chr1	10900000	11000000	0.37335
chr1	11000000	11100000	0.422504
chr1	11100000	11200000	0.425698
chr1	11200000	11300000	0.345126
chr1	11300000	11400000	0.367845
chr1	11400000	11500000	0.393738
chr1	11500000	11600000	0.377482
chr1	11600000	11700000	0.240758
chr1	11700000	11800000	0.368363
chr1	11800000	11900000	0.495492
chr1	11900000	12000000	0.49252
chr1	12000000	12100000	0.510671
chr1	12100000	12200000	0.516537
chr1	12200000	12300000	0.343809
chr1	12300000	12400000	0.367127
chr1	12400000	12500000	0.423039
chr1	12500000	12600000	0.395361
chr1	12600000	12700000	0.321061
chr1	12700000	12800000	0.291596
chr1	12800000	12900000	0.36314
chr1	12900000	13000000	nan
chr1	13000000	13100000	nan
chr1	13100000	13200000	nan
chr1	13200000	13300000	nan
chr1	13300000	13400000	0.272926
chr1	13400000	13500000	0.260844
chr1	13500000	13600000	0.298322
chr1	13600000	13700000	0.240206
chr1	13700000	13800000	0.382248
chr1	13800000	13900000	0.314053
chr1	13900000	14000000	0.3158
chr1	14000000	14100000	0.320156
chr1	14100000	14200000	0.306983
chr1	14200000	14300000	0.296979
chr1	14300000	14400000	0.34867
chr1	14400000	14500000	0.316213
chr1	14500000	14600000	0.352986
chr1	14600000	14700000	0.326421
chr1	14700000	14800000	0.35176
chr1	14800000	14900000	0.331279
chr1	14900000	15000000	0.356614
chr1	15000000	15100000	0.32158
chr1	15100000	15200000	0.383667
chr1	15200000	15300000	0.427848
chr1	15300000	15400000	0.44387
chr1	15400000	15500000	0.374835
chr1	15500000	15600000	0.405769
chr1	15600000	15700000	0.42353
chr1	15700000	15800000	0.378887
chr1	15800000	15900000	0.415616
chr1	15900000	16000000	0.44965
chr1	16000000	16100000	0.405444
chr1	16100000	16200000	0.49011
chr1	16200000	16300000	0.329974
chr1	16300000	16400000	0.338066
chr1	16400000	16500000	0.397208
chr1	16500000	16600000	0.260462
chr1	16600000	16700000	0.335626
chr1	16700000	16800000	0.322082
chr1	16800000	16900000	nan
chr1	16900000	17000000	0.326206
chr1	17000000	17100000	0.277964
chr1	17100000	17200000	0.400304
chr1	17200000	17300000	0.348176
chr1	17300000	17400000	0.353632
chr1	17400000	17500000	0.387172
chr1	17500000	17600000	0.436878
chr1	17600000	17700000	0.292789
chr1	17700000	17800000	0.305486
chr1	17800000	17900000	0.309159
chr1	17900000	18000000	0.365841
chr1	18000000	18100000	0.306002
chr1	18100000	18200000	0.335746
chr1	18200000	18300000	0.339325
chr1	18300000	18400000	0.35527
chr1	18400000	18500000	0.314072
chr1	18500000	18600000	0.294114
chr1	18600000	18700000	0.339292
chr1	18700000	18800000	0.374369
chr1	18800000	18900000	0.325374
chr1	18900000	19000000	0.478782
chr1	19000000	19100000	0.375317
chr1	19100000	19200000	0.555999
chr1	19200000	19300000	0.319642
chr1	19300000	19400000	0.331803
chr1	19400000	19500000	0.427171
chr1	19500000	19600000	0.439249
chr1	19600000	19700000	0.3189
chr1	19700000	19800000	0.416814
chr1	19800000	19900000	0.317412
chr1	19900000	20000000	0.381792
chr1	20000000	20100000	0.398196
chr1	20100000	20200000	0.373902
chr1	20200000	20300000	0.3306
chr1	20300000	20400000	0.374493
chr1	20400000	20500000	0.35426
chr1	20500000	20600000	0.367872
chr1	20600000	20700000	0.347668
chr1	20700000	20800000	0.418791
chr1	20800000	20900000	0.40559
chr1	20900000	21000000	0.377807
chr1	21000000	21100000	0.422168
chr1	21100000	21200000	0.390645
chr1	21200000	21300000	0.374568
chr1	21300000	21400000	0.35029
chr1	21400000	21500000	0.399912
chr1	21500000	21600000	0.398408
chr1	21600000	21700000	0.323153
chr1	21700000	21800000	0.418072
chr1	21800000	21900000	0.478498
chr1	21900000	22000000	0.38505
chr1	22000000	22100000	0.441826
chr1	22100000	22200000	0.402799
chr1	22200000	22300000	0.352961
chr1	22300000	22400000	0.376113
chr1	22400000	22500000	0.339209
chr1	22500000	22600000	0.357637
chr1	22600000	22700000	0.294521
chr1	22700000	22800000	0.416984
chr1	22800000	22900000	0.423937
chr1	22900000	23000000	0.268694
chr1	23000000	23100000	0.40812
chr1	23100000	23200000	0.584532
chr1	23200000	23300000	0.434452
chr1	23300000	23400000	0.421065
chr1	23400000	23500000	0.435689
chr1	23500000	23600000	0.346262
chr1	23600000	23700000	0.344066
chr1	23700000	23800000	0.37269
chr1	23800000	23900000	0.51345
chr1	23900000	24000000	0.332739
chr1	24000000	24100000	0.347723
chr1	24100000	24200000	0.335088
chr1	24200000	24300000	0.437676
chr1	24300000	24400000	0.464316
chr1	24400000	24500000	0.390761
chr1	24500000	24600000	0.388192
chr1	24600000	24700000	0.241226
chr1	24700000	24800000	0.440842
chr1	24800000	24900000	0.268472
chr1	24900000	25000000	0.355178
chr1	25000000	25100000	0.387394
chr1	25100000	25200000	0.408807
chr1	25200000	25300000	0.342214
chr1	25300000	25400000	0.380636
chr1	25400000	25500000	0.489482
chr1	25500000	25600000	0.394029
chr1	25600000	25700000	0.418534
chr1	25700000	25800000	0.448119
chr1	25800000	25900000	0.398525
chr1	25900000	26000000	0.522889
chr1	26000000	26100000	0.397152
chr1	26100000	26200000	0.432604
chr1	26200000	26300000	0.35495
chr1	26300000	26400000	0.424606
chr1	26400000	26500000	0.345772
chr1	26500000	26600000	0.464223
chr1	26600000	26700000	0.564453
chr1	26700000	26800000	0.494772
chr1	26800000	26900000	0.537009
chr1	26900000	27000000	0.422776
chr1	27000000	27100000	0.450012
chr1	27100000	27200000	0.468362
chr1	27200000	27300000	0.495931
chr1	27300000	27400000	0.590546
chr1	27400000	27500000	0.548865
chr1	27500000	27600000	0.436033
chr1	27600000	27700000	0.531195
chr1	27700000	27800000	0.451102
chr1	27800000	27900000	0.271222
chr1	27900000	28000000	0.498193
chr1	28000000	28100000	0.364922
chr1	28100000	28200000	0.554328
chr1	28200000	28300000	0.267218
chr1	28300000	28400000	0.344925
chr1	28400000	28500000	0.465284
chr1	28500000	28600000	0.447294
chr1	28600000	28700000	0.286057
chr1	28700000	28800000	0.323857
chr1	28800000	28900000	0.414868
chr1	28900000	29000000	0.441917
chr1	29000000	29100000	0.336814
chr1	29100000	29200000	0.403223
chr1	29200000	29300000	0.277295
chr1	29300000	29400000	0.343834
chr1	29400000	29500000	0.314971
chr1	29500000	29600000	0.317442
chr1	29600000	29700000	0.359997
chr1	29700000	29800000	0.365922
chr1	29800000	29900000	0.324842
chr1	29900000	30000000	0.36977
chr1	30000000	30100000	0.337728
chr1	30100000	30200000	0.315346
chr1	30200000	30300000	0.342091
chr1	30300000	30400000	0.308591
chr1	30400000	30500000	0.319911
chr1	30500000	30600000	0.331876
chr1	30600000	30700000	0.356702
chr1	30700000	30800000	0.662006
chr1	30800000	30900000	0.521186
chr1	30900000	31000000	0.356211
chr1	31000000	31100000	0.383072
chr1	31100000	31200000	0.313408
chr1	31200000	31300000	0.385108
chr1	31300000	31400000	0.376931
chr1	31400000	31500000	0.413772
chr1	31500000	31600000	0.296496
chr1	31600000	31700000	0.382712
chr1	31700000	31800000	0.490038
chr1	31800000	31900000	0.452785
chr1	31900000	32000000	0.504559
chr1	32000000	32100000	0.404331
chr1	32100000	32200000	0.399352
chr1	32200000	32300000	0.451754
chr1	32300000	32400000	0.424349
chr1	32400000	32500000	0.347194
chr1	32500000	32600000	0.415719
chr1	32600000	32700000	0.348528
chr1	32700000	32800000	0.468207
chr1	32800000	32900000	0.3704
chr1	32900000	33000000	0.378512
chr1	33000000	33100000	0.337896
chr1	33100000	33200000	0.435662
chr1	33200000	33300000	0.372233
chr1	33300000	33400000	0.386518
chr1	33400000	33500000	0.425018
chr1	33500000	33600000	0.367797
chr1	33600000	33700000	0.276573
chr1	33700000	33800000	0.326517
chr1	33800000	33900000	0.354059
chr1	33900000	34000000	0.347748
chr1	34000000	34100000	0.338025
chr1	34100000	34200000	0.315192
chr1	34200000	34300000	0.282672
chr1	34300000	34400000	0.355707
chr1	34400000	34500000	0.344708
chr1	34500000	34600000	0.425804
chr1	34600000	34700000	0.329527
chr1	34700000	34800000	0.267779
chr1	34800000	34900000	0.353893
chr1	34900000	35000000	0.334356
chr1	35000000	35100000	0.380901
chr1	35100000	35200000	0.341765
chr1	35200000	35300000	0.459734
chr1	35300000	35400000	0.411692
chr1	35400000	35500000	0.372417
chr1	35500000	35600000	0.290131
chr1	35600000	35700000	0.38033
chr1	35700000	35800000	0.40812
chr1	35800000	35900000	0.353801
chr1	35900000	36000000	0.380826
chr1	36000000	36100000	0.412571
chr1	36100000	36200000	0.360967
chr1	36200000	36300000	0.466388
chr1	36300000	36400000	0.487062
chr1	36400000	36500000	0.299946
chr1	36500000	36600000	0.338244
chr1	36600000	36700000	0.35389
chr1	36700000	36800000	0.298273
chr1	36800000	36900000	0.367404
chr1	36900000	37000000	0.3387
chr1	37000000	37100000	0.383469
chr1	37100000	37200000	0.339808
chr1	37200000	37300000	0.363955
chr1	37300000	37400000	0.311231
chr1	37400000	37500000	0.27185
chr1	37500000	37600000	0.392955
chr1	37600000	37700000	0.506865
chr1	37700000	37800000	0.427579
chr1	37800000	37900000	0.463596
chr1	37900000	38000000	0.470016
chr1	38000000	38100000	0.363237
chr1	38100000	38200000	0.41149
chr1	38200000	38300000	0.381332
chr1	38300000	38400000	0.390639
chr1	38400000	38500000	0.392893
chr1	38500000	38600000	0.412916
chr1	38600000	38700000	0.339332
chr1	38700000	38800000	0.403172
chr1	38800000	38900000	0.291446
chr1	38900000	39000000	0.391737
chr1	39000000	39100000	0.376266
chr1	39100000	39200000	0.510213
chr1	39200000	39300000	0.382412
chr1	39300000	39400000	0.471776
chr1	39400000	39500000	0.442957
chr1	39500000	39600000	0.361453
chr1	39600000	39700000	0.44857
chr1	39700000	39800000	0.43014
chr1	39800000	39900000	0.50532
chr1	39900000	40000000	0.59347
chr1	40000000	40100000	0.301663
chr1	40100000	40200000	0.347711
chr1	40200000	40300000	0.455997
chr1	40300000	40400000	0.40671
chr1	40400000	40500000	0.338226
chr1	40500000	40600000	0.314878
chr1	40600000	40700000	0.449199
chr1	40700000	40800000	0.42386
chr1	40800000	40900000	0.351639
chr1	40900000	41000000	0.343772
chr1	41000000	41100000	0.376628
chr1	41100000	41200000	0.398333
chr1	41200000	41300000	0.281263
chr1	41300000	41400000	0.487992
chr1	41400000	41500000	0.364526
chr1	41500000	41600000	0.31621
chr1	41600000	41700000	0.450482
chr1	41700000	41800000	0.408442
chr1	41800000	41900000	0.425723
chr1	41900000	42000000	0.445298
chr1	42000000	42100000	0.335286
chr1	42100000	42200000	0.336557
chr1	42200000	42300000	0.427375
chr1	42300000	42400000	0.323126
chr1	42400000	42500000	0.389872
chr1	42500000	42600000	0.333518
chr1	42600000	42700000	0.331621
chr1	42700000	42800000	0.343505
chr1	42800000	42900000	0.404236
chr1	42900000	43000000	0.464184
chr1	43000000	43100000	0.393986
chr1	43100000	43200000	0.335467
chr1	43200000	43300000	0.367721
chr1	43300000	43400000	0.396059
chr1	43400000	43500000	0.419066
chr1	43500000	43600000	0.395365
chr1	43600000	43700000	0.285126
chr1	43700000	43800000	0.326741
chr1	43800000	43900000	0.448863
chr1	43900000	44000000	0.359411
chr1	44000000	44100000	0.356726
chr1	44100000	44200000	0.377661
chr1	44200000	44300000	0.404519
chr1	44300000	44400000	0.358546
chr1	44400000	44500000	0.35499
chr1	44500000	44600000	0.393702
chr1	44600000	44700000	0.406809
chr1	44700000	44800000	0.461155
chr1	44800000	44900000	0.313282
chr1	44900000	45000000	0.422203
chr1	45000000	45100000	0.371341
chr1	45100000	45200000	0.403816
chr1	45200000	45300000	0.416297
chr1	45300000	45400000	0.359058
chr1	45400000	45500000	0.463594
chr1	45500000	45600000	0.581005
chr1	45600000	45700000	0.419067
chr1	45700000	45800000	0.398395
chr1	45800000	45900000	0.36374
chr1	45900000	46000000	0.409274
chr1	46000000	46100000	0.366078
chr1	46100000	46200000	0.506327
chr1	46200000	46300000	0.307463
chr1	46300000	46400000	0.286929
chr1	46400000	46500000	0.41407
chr1	46500000	46600000	0.342904
chr1	46600000	46700000	0.417917
chr1	46700000	46800000	0.273211
chr1	46800000	46900000	0.298478
chr1	46900000	47000000	0.350471
chr1	47000000	47100000	0.359263
chr1	47100000	47200000	0.272847
chr1	47200000	47300000	0.345979
chr1	47300000	47400000	0.351064
chr1	47400000	47500000	0.346264
chr1	47500000	47600000	0.345305
chr1	47600000	47700000	0.34607
chr1	47700000	47800000	0.329054
chr1	47800000	47900000	0.331873
chr1	47900000	48000000	0.28301
chr1	48000000	48100000	0.366559
chr1	48100000	48200000	0.327621
chr1	48200000	48300000	0.262582
chr1	48300000	48400000	0.282796
chr1	48400000	48500000	0.277352
chr1	48500000	48600000	0.287735
chr1	48600000	48700000	0.361128
chr1	48700000	48800000	0.353642
chr1	48800000	48900000	0.307201
chr1	48900000	49000000	0.286461
chr1	49000000	49100000	0.275794
chr1	49100000	49200000	0.287367
chr1	49200000	49300000	0.286236
chr1	49300000	49400000	0.311987
chr1	49400000	49500000	0.283654
chr1	49500000	49600000	0.275693
chr1	49600000	49700000	0.31558
chr1	49700000	49800000	0.279608
chr1	49800000	49900000	0.247802
chr1	49900000	50000000	0.27006
chr1	50000000	50100000	0.288905
chr1	50100000	50200000	0.296836
chr1	50200000	50300000	0.318478
chr1	50300000	50400000	0.29839
chr1	50400000	50500000	0.334425
chr1	50500000	50600000	0.368876
chr1	50600000	50700000	0.360253
chr1	50700000	50800000	0.304804
chr1	50800000	50900000	0.345904
chr1	50900000	51000000	0.450655
chr1	51000000	51100000	0.341081
chr1	51100000	51200000	0.407748
chr1	51200000	51300000	0.469318
chr1	51300000	51400000	0.379545
chr1	51400000	51500000	0.411194
chr1	51500000	51600000	0.38504
chr1	51600000	51700000	0.428502
chr1	51700000	51800000	0.367589
chr1	51800000	51900000	0.392715
chr1	51900000	52000000	0.51021
chr1	52000000	52100000	0.360662
chr1	52100000	52200000	0.363874
chr1	52200000	52300000	0.388264
chr1	52300000	52400000	0.339675
chr1	52400000	52500000	0.35133
chr1	52500000	52600000	0.357454
chr1	52600000	52700000	0.40583
chr1	52700000	52800000	0.395831
chr1	52800000	52900000	0.362028
chr1	52900000	53000000	0.381255
chr1	53000000	53100000	0.351579
chr1	53100000	53200000	0.328941
chr1	53200000	53300000	0.320318
chr1	53300000	53400000	0.515543
chr1	53400000	53500000	0.287841
chr1	53500000	53600000	0.370045
chr1	53600000	53700000	0.395672
chr1	53700000	53800000	0.330609
chr1	53800000	53900000	0.358974
chr1	53900000	54000000	0.316047
chr1	54000000	54100000	0.319928
chr1	54100000	54200000	0.37991
chr1	54200000	54300000	0.372719
chr1	54300000	54400000	0.396298
chr1	54400000	54500000	0.48272
chr1	54500000	54600000	0.363216
chr1	54600000	54700000	0.352328
chr1	54700000	54800000	0.450532
chr1	54800000	54900000	0.368984
chr1	54900000	55000000	0.457188
chr1	55000000	55100000	0.321706
chr1	55100000	55200000	0.390581
chr1	55200000	55300000	0.426648
chr1	55300000	55400000	0.308825
chr1	55400000	55500000	0.285084
chr1	55500000	55600000	0.336054
chr1	55600000	55700000	0.294465
chr1	55700000	55800000	0.316923
chr1	55800000	55900000	0.34146
chr1	55900000	56000000	0.323186
chr1	56000000	56100000	0.367114
chr1	56100000	56200000	0.349199
chr1	56200000	56300000	0.350999
chr1	56300000	56400000	0.326678
chr1	56400000	56500000	0.38214
chr1	56500000	56600000	0.391503
chr1	56600000	56700000	0.294316
chr1	56700000	56800000	0.312688
chr1	56800000	56900000	0.295568
chr1	56900000	57000000	0.329535
chr1	57000000	57100000	0.320347
chr1	57100000	57200000	0.340809
chr1	57200000	57300000	0.301735
chr1	57300000	57400000	0.297847
chr1	57400000	57500000	0.29096
chr1	57500000	57600000	0.308036
chr1	57600000	57700000	0.29408
chr1	57700000	57800000	0.325178
chr1	57800000	57900000	0.306715
chr1	57900000	58000000	0.315323
chr1	58000000	58100000	0.281512
chr1	58100000	58200000	0.30914
chr1	58200000	58300000	0.299578
chr1	58300000	58400000	0.334259
chr1	58400000	58500000	0.356506
chr1	58500000	58600000	0.405749
chr1	58600000	58700000	0.300862
chr1	58700000	58800000	0.355247
chr1	58800000	58900000	0.423114
chr1	58900000	59000000	0.409782
chr1	59000000	59100000	0.388131
chr1	59100000	59200000	0.352383
chr1	59200000	59300000	0.322513
chr1	59300000	59400000	0.372057
chr1	59400000	59500000	0.387715
chr1	59500000	59600000	0.334903
chr1	59600000	59700000	0.350305
chr1	59700000	59800000	0.350627
chr1	59800000	59900000	0.327307
chr1	59900000	60000000	0.272391
chr1	60000000	60100000	0.291856
chr1	60100000	60200000	0.277673
chr1	60200000	60300000	0.269771
chr1	60300000	60400000	0.309964
chr1	60400000	60500000	0.281452
chr1	60500000	60600000	0.308093
chr1	60600000	60700000	0.275052
chr1	60700000	60800000	0.2869
chr1	60800000	60900000	0.280365
chr1	60900000	61000000	0.331734
chr1	61000000	61100000	0.281208
chr1	61100000	61200000	0.341385
chr1	61200000	61300000	0.330239
chr1	61300000	61400000	0.312817
chr1	61400000	61500000	0.274665
chr1	61500000	61600000	0.332104
chr1	61600000	61700000	0.292752
chr1	61700000	61800000	0.382341
chr1	61800000	61900000	0.274967
chr1	61900000	62000000	0.319194
chr1	62000000	62100000	0.336389
chr1	62100000	62200000	0.300416
chr1	62200000	62300000	0.338249
chr1	62300000	62400000	0.342167
chr1	62400000	62500000	0.285141
chr1	62500000	62600000	0.436948
chr1	62600000	62700000	0.467244
chr1	62700000	62800000	0.303064
chr1	62800000	62900000	0.289145
chr1	62900000	63000000	0.301381
chr1	63000000	63100000	0.356483
chr1	63100000	63200000	0.297852
chr1	63200000	63300000	0.299433
chr1	63300000	63400000	0.36417
chr1	63400000	63500000	0.319969
chr1	63500000	63600000	0.348879
chr1	63600000	63700000	0.341586
chr1	63700000	63800000	0.320863
chr1	63800000	63900000	0.366002
chr1	63900000	64000000	0.363917
chr1	64000000	64100000	0.334436
chr1	64100000	64200000	0.350104
chr1	64200000	64300000	0.21725
chr1	64300000	64400000	0.272322
chr1	64400000	64500000	0.277828
chr1	64500000	64600000	0.323695
chr1	64600000	64700000	0.327374
chr1	64700000	64800000	0.329179
chr1	64800000	64900000	0.357477
chr1	64900000	65000000	0.418258
chr1	65000000	65100000	0.300078
chr1	65100000	65200000	0.326233
chr1	65200000	65300000	0.313138
chr1	65300000	65400000	0.341121
chr1	65400000	65500000	0.282568
chr1	65500000	65600000	0.299453
chr1	65600000	65700000	0.302429
chr1	65700000	65800000	0.304101
chr1	65800000	65900000	0.326785
chr1	65900000	66000000	0.319511
chr1	66000000	66100000	0.293868
chr1	66100000	66200000	0.369959
chr1	66200000	66300000	0.247783
chr1	66300000	66400000	0.440417
chr1	66400000	66500000	0.185318
chr1	66500000	66600000	0.312729
chr1	66600000	66700000	0.339714
chr1	66700000	66800000	0.323605
chr1	66800000	66900000	0.331918
chr1	66900000	67000000	0.41561
chr1	67000000	67100000	0.333246
chr1	67100000	67200000	0.349273
chr1	67200000	67300000	0.372141
chr1	67300000	67400000	0.362466
chr1	67400000	67500000	0.397806
chr1	67500000	67600000	0.324856
chr1	67600000	67700000	0.415751
chr1	67700000	67800000	0.40274
chr1	67800000	67900000	0.318846
chr1	67900000	68000000	0.327389
chr1	68000000	68100000	0.273001
chr1	68100000	68200000	0.38146
chr1	68200000	68300000	0.347213
chr1	68300000	68400000	0.307796
chr1	68400000	68500000	0.31774
chr1	68500000	68600000	0.288158
chr1	68600000	68700000	0.28543
chr1	68700000	68800000	0.272573
chr1	68800000	68900000	0.308506
chr1	68900000	69000000	0.298826
chr1	69000000	69100000	0.26564
chr1	69100000	69200000	0.28263
chr1	69200000	69300000	0.307531
chr1	69300000	69400000	0.256997
chr1	69400000	69500000	0.244299
chr1	69500000	69600000	0.298907
chr1	69600000	69700000	0.252263
chr1	69700000	69800000	0.24771
chr1	69800000	69900000	0.277383
chr1	69900000	70000000	0.289788
chr1	70000000	70100000	0.327491
chr1	70100000	70200000	0.291799
chr1	70200000	70300000	0.414957
chr1	70300000	70400000	0.385514
chr1	70400000	70500000	0.388561
chr1	70500000	70600000	0.255458
chr1	70600000	70700000	0.295031
chr1	70700000	70800000	0.31791
chr1	70800000	70900000	0.327108
chr1	70900000	71000000	0.301961
chr1	71000000	71100000	0.300528
chr1	71100000	71200000	0.271696
chr1	71200000	71300000	0.272523
chr1	71300000	71400000	0.275958
chr1	71400000	71500000	0.307653
chr1	71500000	71600000	0.334161
chr1	71600000	71700000	0.295538
chr1	71700000	71800000	0.31831
chr1	71800000	71900000	0.304986
chr1	71900000	72000000	0.279931
chr1	72000000	72100000	0.264495
chr1	72100000	72200000	0.256959
chr1	72200000	72300000	0.307514
chr1	72300000	72400000	nan
chr1	72400000	72500000	0.290686
chr1	72500000	72600000	0.257332
chr1	72600000	72700000	0.259256
chr1	72700000	72800000	0.290695
chr1	72800000	72900000	0.279174
chr1	72900000	73000000	0.259483
chr1	73000000	73100000	0.305753
chr1	73100000	73200000	0.283343
chr1	73200000	73300000	0.26239
chr1	73300000	73400000	0.283061
chr1	73400000	73500000	0.291695
chr1	73500000	73600000	0.285416
chr1	73600000	73700000	0.283122
chr1	73700000	73800000	0.278148
chr1	73800000	73900000	0.313757
chr1	73900000	74000000	0.353266
chr1	74000000	74100000	0.299307
chr1	74100000	74200000	0.295126
chr1	74200000	74300000	0.303301
chr1	74300000	74400000	0.299605
chr1	74400000	74500000	0.256134
chr1	74500000	74600000	0.362443
chr1	74600000	74700000	0.404897
chr1	74700000	74800000	0.28783
chr1	74800000	74900000	0.349848
chr1	74900000	75000000	0.318679
chr1	75000000	75100000	0.316722
chr1	75100000	75200000	0.311538
chr1	75200000	75300000	0.311351
chr1	75300000	75400000	0.370325
chr1	75400000	75500000	0.373119
chr1	75500000	75600000	0.302045
chr1	75600000	75700000	0.295803
chr1	75700000	75800000	0.469643
chr1	75800000	75900000	0.288801
chr1	75900000	76000000	0.373801
chr1	76000000	76100000	0.305738
chr1	76100000	76200000	0.29831
chr1	76200000	76300000	0.314449
chr1	76300000	76400000	0.30001
chr1	76400000	76500000	0.331227
chr1	76500000	76600000	0.31387
chr1	76600000	76700000	0.291188
chr1	76700000	76800000	0.338469
chr1	76800000	76900000	0.322215
chr1	76900000	77000000	0.324965
chr1	77000000	77100000	0.292684
chr1	77100000	77200000	0.311941
chr1	77200000	77300000	0.30192
chr1	77300000	77400000	0.332541
chr1	77400000	77500000	0.326806
chr1	77500000	77600000	0.327641
chr1	77600000	77700000	0.4216
chr1	77700000	77800000	0.411907
chr1	77800000	77900000	0.413682
chr1	77900000	78000000	0.373067
chr1	78000000	78100000	0.403628
chr1	78100000	78200000	0.276105
chr1	78200000	78300000	0.324788
chr1	78300000	78400000	0.308766
chr1	78400000	78500000	0.357339
chr1	78500000	78600000	0.293545
chr1	78600000	78700000	0.526897
chr1	78700000	78800000	0.335936
chr1	78800000	78900000	0.251374
chr1	78900000	79000000	0.294177
chr1	79000000	79100000	0.325561
chr1	79100000	79200000	0.293815
chr1	79200000	79300000	0.295798
chr1	79300000	79400000	0.287094
chr1	79400000	79500000	0.338308
chr1	79500000	79600000	0.287825
chr1	79600000	79700000	0.318053
chr1	79700000	79800000	0.348466
chr1	79800000	79900000	0.27797
chr1	79900000	80000000	0.291011
chr1	80000000	80100000	0.259927
chr1	80100000	80200000	0.266823
chr1	80200000	80300000	0.318037
chr1	80300000	80400000	0.288857
chr1	80400000	80500000	0.268417
chr1	80500000	80600000	0.28662
chr1	80600000	80700000	0.34062
chr1	80700000	80800000	0.281565
chr1	80800000	80900000	0.279768
chr1	80900000	81000000	0.241029
chr1	81000000	81100000	0.288227
chr1	81100000	81200000	0.260799
chr1	81200000	81300000	0.272819
chr1	81300000	81400000	0.267032
chr1	81400000	81500000	0.327425
chr1	81500000	81600000	0.31076
chr1	81600000	81700000	0.380437
chr1	81700000	81800000	0.286712
chr1	81800000	81900000	0.323107
chr1	81900000	82000000	0.329101
chr1	82000000	82100000	0.32233
chr1	82100000	82200000	0.307357
chr1	82200000	82300000	0.288821
chr1	82300000	82400000	0.296181
chr1	82400000	82500000	0.303982
